,Category,Reasoning Type,gpt4o,claude3.5sonnet,llama3.1405B,gemini1.5pro,mistral2large
446,KEEP RHYTHM WITH MUSIC,semantic relations,0,0,0,0,0
447,ROUND OF    _,multiword expressions,0,0,0,0,0
448,CONNECT,semantic relations,1,1,1,0,0
449,NUISANCE,semantic relations,0,0,0,0,0
450,QUANTITY WORDS,semantic relations,1,0,0,0,1
451,"TAROT CARDS, WITH ""THE",word meaning + word form,0,0,0,0,0
452,SOMETHING GAINED FROM HARD WORK,semantic relations,1,0,0,0,0
453,KINDS OF BAGELS,semantic relations,0,0,0,0,0
454,CONTRIBUTE TO A MOVIE,semantic relations,0,0,0,0,0
455,STARTS OF MONSTERS,word meaning + word form,0,0,0,0,0
456,ENJOY,semantic relations,1,1,0,0,0
457,FILLER WORDS,semantic relations,1,1,0,0,0
458,COMPONENTS OF A LOCK,semantic relations,0,0,0,0,0
459,HOMOPHONES OF UNITS OF MEASURE,word meaning + word form,0,0,0,0,0
460,NIGHTSPOTS,semantic relations,0,0,1,0,1
461,CAST OFF,semantic relations,0,0,1,1,1
462,UNITS OF LENGTH,semantic relations,0,0,1,0,0
463,_ SALE,multiword expressions,0,0,1,0,0
464,HIGHLY SKILLED,semantic relations,0,0,0,0,0
465,USED TO FIX A FLAT,semantic relations,1,1,1,0,1
466,JOAQUIN PHOENIX MOVIES,encyclopedic,0,0,0,0,0
467,WORDS STARTING WITH MUSIC GENRES,word meaning + word form,0,0,0,0,0
468,FEATURES ON A PAIR OF JEANS,semantic relations,1,0,0,0,0
469,"OBJECTS IN 0-, 1-, 2- AND 3-DIMENSIONAL SPACE",semantic relations,0,0,0,0,0
470,WEB BROWSER MENUS,semantic relations,0,0,0,0,0
471,MEMBER OF A '60S BAND,word meaning + word form,0,0,0,0,0
472,DIPPING SAUCES,semantic relations,0,0,0,0,0
473,INTERROGATE,semantic relations,1,0,0,1,0
474,TRANSACTION RECORD,semantic relations,1,1,1,1,1
475,"WHAT ""STOCK"" MIGHT MEAN",semantic relations,0,0,0,1,0
476,EXERCISES,semantic relations,0,1,0,0,0
477,FEATURED IN WESTERNS,semantic relations,0,0,1,0,0
478,LEADERS WHO RECEIVED THE NOBEL PEACE PRIZE,encyclopedic,0,0,0,0,0
479,_ BEE,multiword expressions,0,0,0,0,0
480,"PASSIONATE, AS A FEELING",semantic relations,0,0,1,0,0
481,BANG INTO,semantic relations,0,0,0,0,0
482,ANALOG TV INTERFERENCE,semantic relations,0,0,0,0,0
483,_ MARY,multiword expressions,0,0,0,0,0
484,TRUST AS REAL,semantic relations,0,0,0,0,0
485,POWER ISSUES,semantic relations,0,0,0,0,0
486,SUMMARY,semantic relations,0,0,0,0,0
487,NAME HOMOPHONES,word meaning + word form,0,0,0,0,0
488,REFINED SENSIBILITY,semantic relations,0,1,0,0,0
489,CATCH SOME RAYS,semantic relations,1,1,0,0,0
490,EMOTIONALLY SWAY,semantic relations,0,1,0,0,0
491,"NUMBERS WITH FIRST LETTERS REPLACED BY ""S",word meaning + word form,0,0,0,0,0
492,LAB EQUIPMENT,semantic relations,1,1,1,1,1
493,NEXUS,semantic relations,0,0,1,0,0
494,SPREADSHEET TERMS,semantic relations,0,1,0,0,0
495,_ LANGUAGE,multiword expressions,0,0,0,0,0
496,TACO TOPPINGS,semantic relations,0,0,1,0,1
497,METRIC PREFIXES,encyclopedic,0,0,1,0,1
498,KINDS OF SKIRTS,semantic relations,0,0,0,0,0
499,"WORDS WITH ""HILL",multiword expressions,0,0,0,0,0
500,THROW OUT,semantic relations,0,0,0,0,0
501,TERRA FIRMA,semantic relations,0,1,1,0,1
502,SEAS,encyclopedic,0,0,0,0,0
503,TOM HANKS MOVIES,encyclopedic,0,0,0,0,0
504,SLANG FOR FRIEND,semantic relations,1,1,0,1,0
505,ADJECTIVES FOR A BASEMENT,semantic relations,0,0,0,0,0
506,STUBBLE,semantic relations,0,1,0,0,0
507,COLLECTION OF MONEY,semantic relations,0,1,0,0,0
508,EMBODIMENT,semantic relations,1,0,1,0,0
509,RELATED TO TRAINS,semantic relations,0,0,0,0,0
510,STARTING WITH THE SAME SOUND,phonology,0,0,0,0,0
511,EAR _,multiword expressions,0,0,0,0,0
512,BALDERDASH,semantic relations,1,1,0,0,0
513,TRACK AND FIELD EQUIPMENT,semantic relations,0,1,0,0,0
514,PARTS OF A DEVIL COSTUME,semantic relations,0,0,0,0,0
515,TYPES OF KNOTS,semantic relations,1,1,0,0,1
516,ATTACH WITH ADHESIVE,semantic relations,0,1,1,0,1
517,PUBLISHED LINES,semantic relations,0,0,0,0,0
518,DIAMOND QUALITIES,semantic relations,1,1,1,0,0
519,A- _,multiword expressions,0,0,0,0,0
520,SIDEWALK SIGHTS,semantic relations,0,1,0,0,1
521,HAVE IN MIND,semantic relations,0,1,1,0,1
522,UNIT ABBREVIATIONS,encyclopedic,0,1,1,0,1
523,GOLDEN    _,multiword expressions,0,0,0,0,0
524,UPRIGHT SUPPORT,semantic relations,0,1,1,0,1
525,"HEED, AS RULES",semantic relations,0,0,1,1,0
526,ALLOTMENT,semantic relations,0,1,0,0,0
527,GATHERED BY SPIES,semantic relations,0,0,0,0,0
528,FLABBERGAST,semantic relations,0,0,0,0,0
529,BIT OF JOURNALISM,semantic relations,0,1,1,0,0
530,ON THE SAME PLANE,semantic relations,0,0,1,0,0
531,THEATER SECTIONS,semantic relations,0,1,0,0,0
532,INVENT AS YOU GO,semantic relations,0,1,0,0,0
533,THINGS BABIES DO,semantic relations,0,0,0,0,0
534,SUPERFICIAL,semantic relations,0,1,0,0,0
535,_ EFFECT,multiword expressions,0,0,0,0,0
536,PULL USING FORCE,semantic relations,1,1,1,1,0
537,BIT OF REPETITIVE TRAINING,semantic relations,1,0,0,0,0
538,U.S.-BASED AIRLINES,encyclopedic,0,1,0,1,0
539,BEGINNING WITH DAY ABBREVIATIONS,word meaning + word form,0,0,0,0,0
540,SEEN AT THE CIRCUS,semantic relations,1,0,0,1,0
541,"THE WIZARD OF OZ"" FIGURES",encyclopedic,1,0,0,1,0
542,FILM DEPARTMENTS,semantic relations,1,0,0,1,0
543,"I'M A    _"" (LYRICS IN ""THE JOKER"")",encyclopedic,0,0,0,0,0
544,ORDERLY,semantic relations,1,1,0,0,1
545,AUGMENTATIVE PREFIXES,morphology,0,1,0,0,1
546,BECOME LARGER,semantic relations,0,0,0,0,1
547,ITEMS IN CLASSIC KIDS' GAMES,semantic relations,0,0,0,0,1
548,"HAIRCUTS, WITH ""CUT",word meaning + word form,0,0,0,0,0
549,MEASURING INSTRUMENTS,semantic relations,0,1,0,0,1
550,WATER AND GAS CONDUITS,semantic relations,0,0,0,0,0
551,FAST FOOD MASCOTS,encyclopedic,0,0,0,0,0
552,PERSON IN CHARGE,semantic relations,1,0,0,0,1
553,GRASSY AREA,semantic relations,0,0,0,0,0
554,"WORDS BEFORE ""NUT",encyclopedic,0,0,0,0,0
555,SECOND WORDS IN TARANTINO MOVIES,multiword expressions,0,0,0,0,0
556,BREADTH,semantic relations,1,0,0,0,0
557,HAIR TOOLS,semantic relations,0,0,0,0,0
558,HERALDRY TERMS,semantic relations,0,1,1,0,0
559,"WORDS BEFORE ""DRUM",multiword expressions,0,0,0,0,0
560,BRIEF MOMENT,semantic relations,0,0,1,0,0
561,DISPUTE,semantic relations,0,1,0,0,1
562,SLANG FOR ZERO,semantic relations,0,0,0,0,0
563,ACCESSORIES FOR MR. PEANUT,encyclopedic,0,0,0,0,0
564,DISORDERLY PLACE,semantic relations,1,0,1,1,1
565,STURDY,semantic relations,1,0,1,0,1
566,FOUND IN CRACKER JACKS,semantic relations,1,0,0,0,0
567,_ HORSE,multiword expressions,0,0,0,0,0
568,INTRINSIC MOTIVATORS,semantic relations,1,1,0,0,0
569,SUMMER GEAR,semantic relations,0,0,0,0,1
570,COLLECTION,semantic relations,1,0,0,0,0
571,HORSE _,multiword expressions,0,0,0,0,0
572,PIECES OF FURNITURE,semantic relations,1,1,1,1,1
573,"CARRY, AS A FEELING",semantic relations,0,1,0,1,0
574,WINE TASTING DESCRIPTORS,semantic relations,0,0,0,0,0
575,STARTING WITH METALS,word meaning + word form,0,0,0,0,0
576,WAYS TO PREPARE EGGS,semantic relations,0,0,0,0,1
577,EXHILARATION,semantic relations,0,0,1,0,1
578,THROWN IN TARGET GAMES,semantic relations,0,0,1,0,0
579,_ WRAP,multiword expressions,0,0,0,0,0
580,BENCHMARK,semantic relations,1,1,1,1,1
581,POKER ACTIONS,semantic relations,0,0,0,0,0
582,SKIN TYPES,semantic relations,0,0,0,0,0
583,STARTS OF U.S. STATES,word meaning + word form,0,0,0,0,0
584,THRUST,semantic relations,1,0,0,0,0
585,KINDS OF SNAKES,semantic relations,1,0,0,0,0
586,"SEEN IN ""CINDERELLA",encyclopedic,0,0,0,0,0
587,PASTA SHAPES,semantic relations,0,0,0,0,0
588,TAKE A TUMBLE,semantic relations,1,0,0,1,0
589,KINDS OF WATER,semantic relations,0,0,0,0,0
590,THINGS THAT ARE CINCHED IN THE MIDDLE,associative relations,0,0,0,0,0
591,_ BEAR,multiword expressions,0,1,0,0,0
592,BREATHES HEAVILY,semantic relations,0,0,0,0,0
593,"PRESERVES, AS MEAT",semantic relations,0,0,0,0,0
594,PREDICAMENTS,semantic relations,0,0,0,0,0
595,"THINGS IN ""MY FAVORITE THINGS",encyclopedic,0,0,0,0,0
596,ESPECIALLY,semantic relations,0,1,0,0,0
597,DISNEY CHARACTERS,encyclopedic,0,0,0,0,0
598,KINDS OF BLUE,semantic relations,0,0,0,0,0
599,"BODY PARTS PLUS ""Y",word meaning + word form,0,0,0,0,0
600,EXITED,semantic relations,0,0,0,0,0
601,ONE FLYING AN AIRPLANE,semantic relations,1,0,0,0,0
602,KINDS OF WHALES,semantic relations,0,0,0,0,0
603,THINGS WITH SLOTS,associative relations,0,0,0,0,0
604,UPDATE FOR ACCURACY,semantic relations,1,0,1,1,1
605,QUARREL,semantic relations,0,1,0,0,0
606,GAMES OF CHANCE,encyclopedic,0,0,0,0,0
607,_ CHIP,multiword expressions,0,0,0,0,0
608,MUSICAL INSTRUMENTS,encyclopedic,1,1,1,1,1
609,PLANT GROWTHS,semantic relations,1,1,1,1,0
610,BRING UP,semantic relations,1,1,1,1,0
611,SOLAR EMANATIONS,encyclopedic,1,0,1,1,1
612,HOW FAST SOMETHING IS GOING,semantic relations,0,0,0,0,0
613,STEP ON IT!,semantic relations,0,0,1,0,0
614,N.B.A. TEAM PLAYER,encyclopedic,0,0,0,0,0
615,TELE _,multiword expressions,0,0,0,0,0
616,YELLOW-BROWN SHADES,semantic relations,0,1,1,0,0
617,FAIL TO ATTEND,semantic relations,0,1,0,0,0
618,DECISIVE VICTORY,semantic relations,1,1,0,0,0
619,_ WHEEL,multiword expressions,0,0,0,0,0
620,KUDOS,semantic relations,1,0,0,0,0
621,BECOME AWARE OF,semantic relations,1,1,0,0,1
622,PURSUE,semantic relations,1,1,0,1,0
623,SEEN IN A PASSPORT,associative relations,1,0,0,0,0
624,JUMPING ANIMALS,semantic relations,0,1,0,0,0
625,APPLY PRESSURE TO,semantic relations,0,1,0,0,0
626,OLYMPIC SPORTS,encyclopedic,0,0,0,0,0
627,THINGS YOU CAN SET,associative relations,0,0,0,0,0
628,"CHAT, INFORMALLY",semantic relations,0,0,0,0,0
629,FEMALE ANIMALS,semantic relations,0,0,1,1,0
630,PALINDROMES,orthography,1,0,0,0,0
631,STARTS OF PLANET NAMES,word meaning + word form,0,0,0,0,0
632,SEEN AT A SPORTS STADIUM,associative relations,0,0,1,0,0
633,CAMERA BRANDS,encyclopedic,1,1,1,0,0
634,ITALIAN DEMONYMS,encyclopedic,0,1,1,0,1
635,STARTING WITH ROCK BANDS,word meaning + word form,0,0,0,0,0
636,MOVIE SUMMARY INFO,associative relations,0,0,0,0,0
637,PRETENSE,semantic relations,0,0,0,0,0
638,FAMOUS GUITARISTS,encyclopedic,0,0,0,0,0
639,SECOND    _,multiword expressions,0,0,0,0,0
640,SEGMENT OF A PROCESS,semantic relations,0,0,0,0,0
641,CONSTELLATIONS,encyclopedic,1,1,1,0,0
642,SPIRALS IN NATURE,associative relations,0,0,0,0,0
643,"ASSOCIATED WITH ""ONE",associative relations,1,0,0,0,0
644,FOOLISHNESS,semantic relations,1,1,1,0,1
645,MOVE FORWARD,semantic relations,1,1,0,0,1
646,THINGS THAT MIGHT STINK,associative relations,0,0,0,0,0
647,"WORDS AFTER ""DEEP",multiword expressions,0,0,0,0,0
648,GET SMALLER,semantic relations,1,0,1,1,0
649,AIRLINE CLASSES,semantic relations,1,0,0,0,0
650,"EXAMINE, AS AN APPLICANT",semantic relations,1,0,0,0,0
651,NOTABLE TV EPISODES,semantic relations,1,0,0,0,0
652,CRITICIZE,semantic relations,0,1,0,0,0
653,MY MISTAKE!,encyclopedic,0,1,0,0,1
654,ALIBI,semantic relations,0,1,0,0,1
655,PLAY    _,multiword expressions,0,0,0,0,0
656,BOX OFFICE VICTORY,semantic relations,1,0,0,0,0
657,VOLLEYBALL MOVES,encyclopedic,0,1,0,0,0
658,HOMOPHONES OF GREEK LETTERS,word meaning + word form,0,0,0,0,0
659,_-O,multiword expressions,0,0,0,0,0
660,HALLOWEEN PURCHASES,associative relations,0,0,0,0,1
661,PLANTS WITH SIMILAR FLAVORS,semantic relations,1,1,0,1,1
662,FOOD SLANG FOR HEAD,associative relations,0,0,0,0,0
663,GEMSTONE CUTS,encyclopedic,0,0,0,0,0
664,SECTION,semantic relations,1,1,1,0,0
665,INCLUDING,semantic relations,0,0,1,1,0
666,"DOG BREEDS, INFORMALLY",associative relations,0,0,0,0,0
667,FAMOUS POEMS,encyclopedic,0,0,0,0,0
668,TREAT WITH EXCESSIVE CARE,semantic relations,0,0,0,0,0
669,BACKSIDE,semantic relations,1,1,1,1,0
670,THINGS IN A SPA LOCKER ROOM,associative relations,1,1,0,0,0
671,CAT'S    _,multiword expressions,0,0,0,0,0
672,THINGS A DOG CAN FETCH,associative relations,0,0,1,1,0
673,CONCEAL,semantic relations,0,0,0,0,0
674,MAC KEYBOARD KEYS,semantic relations,1,0,0,0,1
675,EXPERIENCE A MEMORY LAPSE,semantic relations,0,0,0,0,0
676,EAT VORACIOUSLY,semantic relations,0,0,0,0,0
677,AREAS OF ACADEMIC FOCUS,semantic relations,0,1,0,0,0
678,UNIVERSAL,semantic relations,0,0,0,0,0
679,SPACE    _,multiword expressions,0,0,0,0,0
680,POP MEGASTARS,encyclopedic,0,0,0,0,0
681,METHOD,semantic relations,0,0,0,0,0
682,"UNLIKELY, AS CHANCES",semantic relations,0,0,0,0,0
683,LIVING    _,multiword expressions,0,0,0,0,0
684,ROOMS IN THE GAME CLUE,encyclopedic,1,0,1,0,1
685,COLLEAGUE,semantic relations,1,1,1,0,0
686,SEEN DURING EASTER,associative relations,0,1,1,0,0
687,WHAT A MOLE CAN BE,associative relations,0,0,0,0,0
688,LARGE AMOUNT,semantic relations,1,1,1,0,1
689,FALL IN UNDER PRESSURE,semantic relations,0,0,0,0,0
690,WAYS TO GET ATTENTION,semantic relations,0,0,0,0,0
691,BELLY    _,multiword expressions,0,0,0,0,0
692,INTELLIGENCE OPERATIVE,semantic relations,1,1,0,0,0
693,UNITS IN POETRY,semantic relations,0,0,0,0,0
694,EXPRESS INDIRECTLY,semantic relations,0,0,0,0,0
695,"WHAT ""K"" MIGHT MEAN",encyclopedic,0,0,0,0,0
696,GARLIC BREAD INGREDIENTS,semantic relations,0,0,0,0,0
697,WAGER,semantic relations,1,0,0,0,0
698,DISNEYLAND LANDS,encyclopedic,0,0,0,0,0
699,_ BAT,multiword expressions,0,0,0,0,0
700,PROPEL INTO THE AIR,semantic relations,1,0,1,1,0
701,PLACE TO STORE VALUABLES,semantic relations,1,1,1,1,0
702,PERIOD,semantic relations,1,1,1,1,1
703,ANIMALS BACKWARD,word meaning + word form,0,0,0,0,0
704,"CHEESES, FAMILIARLY",semantic relations,0,0,0,0,0
705,TRACK AND FIELD EQUIPMENT,semantic relations,0,1,1,0,0
706,KINDS OF HEELS,semantic relations,1,1,0,0,0
707,DOUBLE    _,multiword expressions,0,0,0,0,0
708,80S FASHION TRENDS,encyclopedic,0,0,0,0,0
709,GYMNASTICS POSITIONS,semantic relations,0,0,0,0,0
710,KINDS OF CRACKERS,semantic relations,0,0,0,0,0
711,_ LADDER,multiword expressions,0,0,0,0,0
712,BASIC TASTES,semantic relations,1,1,1,1,1
713,"STAND UP TO, AS A CHALLENGE",semantic relations,0,1,0,0,0
714,ILK,semantic relations,1,1,0,0,0
715,"ART MOVEMENTS, WITH -ISM",word meaning + word form,0,1,0,0,0
716,WALK HEAVILY,semantic relations,1,1,0,1,0
717,FLEXIBLE,semantic relations,0,1,0,1,1
718,FENCING EQUIPMENT,semantic relations,0,0,0,0,0
719,WORDS BEGINNING WITH INSTRUMENTS,word meaning + word form,0,0,0,0,0
720,MANUFACTURING LOCATIONS,semantic relations,1,1,1,0,1
721,WIN + LETTER,orthography,0,0,0,0,0
722,PARTS OF FRUIT YOU MIGHT NOT EAT,associative relations,1,0,1,0,1
723,WEIGHTS IN BOXING,encyclopedic,0,0,0,0,0
724,PROCESSION,semantic relations,0,0,0,0,0
725,SHADES OF GREEN,semantic relations,0,1,0,0,0
726,"WHAT ""BLUE"" MIGHT MEAN",associative relations,0,0,0,0,0
727,THINGS WITH SPINES,associative relations,0,0,0,0,0
728,DOG SOUNDS,semantic relations,1,1,1,1,1
729,DEPARTMENT,semantic relations,0,0,0,0,0
730,ORIGIN,semantic relations,0,0,0,0,0
731,COLORS WITH THEIR FIRST LETTERS CHANGED,word meaning + word form,0,0,0,0,0
732,PESTERS,semantic relations,0,0,0,0,0
733,TONY WINNERS FOR BEST MUSICAL,encyclopedic,1,1,0,0,0
734,THEY HAVE KEYS,associative relations,0,0,0,0,0
735,SCHOOL OF    _,multiword expressions,0,1,0,0,0
736,PARTY POOPER,semantic relations,0,0,0,0,0
737,MUSICAL SECTIONS,encyclopedic,0,0,0,0,0
738,BIT OF LIQUID,semantic relations,0,0,0,1,0
739,VEGETABLE HOMOPHONES,word meaning + word form,0,0,0,0,0
740,USED IN BUILDING A FIRE,associative relations,1,1,1,1,0
741,MESS UP,semantic relations,0,0,0,0,0
742,WORKSHOP TOOLS,semantic relations,1,1,1,1,1
743,PARTS OF A DOOR,semantic relations,1,1,1,1,1
744,EAT A LITTLE,semantic relations,0,1,1,0,0
745,PURSUE,semantic relations,1,1,0,0,1
746,INGREDIENTS IN MINESTRONE,semantic relations,0,0,0,0,0
747,_CAST,multiword expressions,0,0,0,0,0
748,BIT OF HAIR,semantic relations,1,1,1,1,0
749,MEDIA ATTENTION,semantic relations,0,0,0,0,0
750,NOUN SUFFIXES,morphology,0,1,1,0,0
751,_ CIRCUS,multiword expressions,0,0,0,0,0
752,COMFY SHOES,semantic relations,1,1,0,1,1
753,THINGS MADE WITH FEATHERS,associative relations,0,0,0,0,0
754,PROGRAMMING LANGUAGES,encyclopedic,1,1,0,1,0
755,THINGS THAT CAN STRIKE,associative relations,0,0,0,0,0
756,FOLLOW ATTENTIVELY,semantic relations,0,0,0,0,0
757,WHERE YOU MIGHT FIND SAND,associative relations,0,0,0,0,0
758,OVEN BUTTONS,semantic relations,0,0,0,0,0
759,BRITPOP BANDS,encyclopedic,0,0,0,0,0
760,TOUCH LIGHTLY,semantic relations,0,0,0,0,0
761,KINDS OF NUMBERS,semantic relations,1,1,1,0,0
762,SAUCES IN CHINESE CUISINE,semantic relations,0,0,0,0,0
763,BEAR    _,multiword expressions,0,0,0,0,0
764,"ENCOURAGE, WITH ""ON",word meaning + word form,0,0,0,0,0
765,SPHERICAL FOODS,associative relations,1,0,0,0,0
766,GROCERY STORE AISLES,semantic relations,1,0,0,0,0
767,GO    _,multiword expressions,0,1,0,0,0
768,BAD THINGS FOR A VIDEO CALL TO DO,associative relations,0,0,0,0,0
769,COSTUMES WITH STRIPED SHIRTS,associative relations,0,0,0,0,0
770,"SEEN IN ""ALADDIN",encyclopedic,0,0,0,0,0
771,MOVIES MINUS NUMBERS,word meaning + word form,0,0,0,0,0
772,MONOTONOUS SOUNDS,semantic relations,1,1,1,0,0
773,BOATS,semantic relations,1,1,1,1,0
774,CAPTAINS,encyclopedic,0,0,0,0,0
775,PREFIXES WITH -CRACY,morphology,0,0,0,0,0
776,STOOL PIGEON,semantic relations,0,1,0,0,0
777,CRAM INTO A TIGHT SPACE,semantic relations,0,0,0,0,0
778,YOGA POSES,associative relations,0,0,0,0,0
779,_FLY,multiword expressions,0,0,0,0,0
780,MUSIC PLAYER BUTTONS,associative relations,1,1,0,1,0
781,BROADCAST,semantic relations,0,0,0,0,0
782,THINGS YOU CAN DRAW,associative relations,0,0,0,1,0
783,NUMBER ANAGRAMS,word meaning + word form,0,0,0,0,0
784,ARCHERY EQUIPMENT,semantic relations,1,1,0,1,1
785,CARD GAMES,encyclopedic,0,0,0,0,0
786,WALLOP,semantic relations,0,0,0,0,0
787,CLASSIC TATTOOS,associative relations,0,0,0,0,0
788,SEA CREATURES,semantic relations,1,1,1,1,1
789,BASIC TWO-DIMENSIONAL SHAPES,semantic relations,1,1,1,0,1
790,BOXING MANEUVERS,semantic relations,0,0,0,0,0
791,FANCY    _,multiword expressions,0,0,0,0,0
792,"OSTENTATIOUS, AS AN OUTFIT",semantic relations,1,1,0,0,0
793,EUPHEMISMS FOR FLATULENCE,semantic relations,0,0,0,0,0
794,KINDS OF BLOND,semantic relations,0,0,0,0,0
795,"WHAT ""O"" MIGHT MEAN",associative relations,0,0,0,0,0
796,GIVE ME A BREAK!,semantic relations,0,0,0,0,0
797,ECCLESIASTICAL TITLES,encyclopedic,1,0,1,0,1
798,ROCK & ROLL HALL OF FAME INDUCTEES,encyclopedic,0,0,1,0,0
799,CITY HOMOPHONES,word meaning + word form,0,0,0,0,0
800,DRINKS WITH CAFFEINE,semantic relations,0,1,0,0,0
801,UNEXCITING,semantic relations,0,0,0,0,0
802,COMEDIAN'S PERFORMANCE,semantic relations,0,0,1,0,0
803,MARTINI SPECIFICATIONS,encyclopedic,0,0,0,0,0
804,COMMERCIAL ORGANIZATION,semantic relations,1,1,1,0,1
805,FARM FIXTURES,semantic relations,1,1,1,0,0
806,CLASSIC DOG NAMES,associative relations,1,0,1,0,0
807,COLORS MINUS THEIR FIRST LETTERS,word meaning + word form,0,0,0,0,0
808,TIME OFF,semantic relations,0,1,1,0,1
809,FEATURES OF A BELT,semantic relations,0,0,0,0,0
810,HOMOPHONES,phonology,0,0,0,0,0
811,_WOOD,multiword expressions,0,0,0,0,0
812,MAKE SHORTER,semantic relations,0,0,0,0,1
813,MUSCULAR,semantic relations,1,0,0,0,0
814,ENTHUSIAST,semantic relations,0,0,0,0,0
815,WRINKLY THINGS,associative relations,0,0,0,0,0
816,MERRIMENT,semantic relations,1,1,0,1,1
817,BOOKED FOR A WEDDING,semantic relations,1,0,1,1,0
818,RHYMES,phonology,0,0,0,0,0
819,_ PIT,multiword expressions,0,0,0,0,0
820,HIT HARD,semantic relations,0,1,0,1,1
821,NEWSPAPER NAMES,encyclopedic,0,0,0,0,0
822,CRESCENT-SHAPED THINGS,associative relations,0,0,0,0,0
823,POWER-UPS IN SUPER MARIO WORLD,encyclopedic,0,0,0,0,0
824,DO SOME MARKETING,semantic relations,0,0,0,1,1
825,ROMANTIC TWOSOME,semantic relations,0,0,0,0,0
826,TENNIS SCORES,encyclopedic,0,1,0,0,0
827,"WORDS WITH ""FRUIT",morphology,0,0,0,0,0
828,HIGHEST POINT,semantic relations,1,1,1,1,1
829,"CAN I GET YOUR    _?"" (PHONE INFO REQUEST)",associative relations,0,1,1,0,0
830,"MODIFIERS MEANING ""SMALL",semantic relations,1,0,1,1,0
831,INSIDE A SCRABBLE BOX,encyclopedic,1,0,1,0,0
832,HURT,semantic relations,0,0,1,0,0
833,LOOK AFTER,semantic relations,0,1,0,0,0
834,"SOUGHT AFTER IN ""THE WIZARD OF OZ",encyclopedic,0,0,0,0,0
835,"SILENT ""W",orthography,0,0,0,0,0
836,BASEBALL EQUIPMENT,semantic relations,0,0,0,1,0
837,HARD HIT,semantic relations,0,0,0,0,0
838,ORIGINAL MONOPOLY TOKENS,encyclopedic,1,1,0,1,0
839,_ BUNNY,multiword expressions,0,0,0,0,0
840,OF-THE-MOMENT,semantic relations,0,0,0,0,0
841,PICTOGRAPH,semantic relations,1,0,1,0,1
842,"IMPOSE, AS A PENALTY",semantic relations,0,0,1,0,1
843,WORDS BEGINNING WITH BODY PARTS,word meaning + word form,0,0,0,0,0
844,"SMARTPHONE FEATURES BEGINNING WITH ""C",semantic relations,0,0,0,0,0
845,PARTS OF THE EYE,semantic relations,1,1,1,0,1
846,FAMILIAL NICKNAMES,semantic relations,0,0,0,0,0
847,WORDS PRONOUNCED DIFFERENTLY WITH ACCENT MARKS,phonology,0,0,0,0,0
848,BRING INTO BEING,semantic relations,1,0,0,1,0
849,EXCELLENT,semantic relations,0,0,1,0,1
850,SYMBOLS ABOVE NUMBERS ON A KEYBOARD,encyclopedic,0,0,0,0,0
851,PASS THE    _,multiword expressions,0,0,0,0,0
852,SYMBOLIC RODS,semantic relations,0,0,0,0,0
853,DENTAL TERMS,encyclopedic,0,1,0,1,0
854,RUBBER STAMP WORDS,encyclopedic,0,0,0,0,0
855,_ YEAR,multiword expressions,0,0,0,0,0
856,RIP OFF,semantic relations,0,0,0,0,0
857,THINGS MADE OF WAX,associative relations,0,0,0,0,0
858,PARTS OF AN AIRPLANE,semantic relations,0,0,0,0,0
859,UNITS OF VEGETABLES,semantic relations,0,0,0,0,0
860,DECLINE,semantic relations,0,1,1,0,0
861,MOVE WITH SPEED,semantic relations,0,0,0,0,0
862,KINDS OF DANCE,semantic relations,1,0,0,1,0
863,BABY    _,multiword expressions,0,1,0,0,0
864,SUNDAE TOPPINGS,associative relations,1,0,0,0,0
865,LEAVE HIGH AND DRY,semantic relations,0,1,1,0,0
866,PHOOEY!,semantic relations,1,1,0,0,0
867,WORDS IN TONGUE TWISTERS,associative relations,0,0,0,0,0
868,SHOW OFF,semantic relations,0,0,0,1,0
869,FOREMOST,semantic relations,1,0,1,1,0
870,COLORS IN BRAZIL'S FLAG,semantic relations,0,0,0,1,1
871,_ LETTER,multiword expressions,0,0,0,1,0
872,DATA SET DATA,encyclopedic,1,1,1,1,1
873,CHEMISTRY TERMS,encyclopedic,0,1,1,0,0
874,ADJECTIVE INTENSIFIERS,semantic relations,0,0,0,0,1
875,RADIO HALL OF FAME MEMBERS,encyclopedic,0,0,0,0,0
876,DECEIVE,semantic relations,1,1,0,0,0
877,INSIDE INFO,semantic relations,0,0,0,0,0
878,TILT TO ONE SIDE,semantic relations,0,0,0,0,0
879,WORDS SPELLED WITH AN UPSIDE-DOWN CALCULATOR,word meaning + word form,0,0,0,0,0
880,LIST OF CANDIDATES,semantic relations,1,0,0,0,0
881,PROTECTIVE BARRIER,semantic relations,0,1,0,0,0
882,MEDICINE FORMATS,associative relations,0,1,1,0,0
883,PEA    _,multiword expressions,0,0,0,0,0
884,THINGS TO PAY,semantic relations,1,0,0,0,1
885,THIEVE,semantic relations,1,1,1,1,1
886,MALE ANIMALS,semantic relations,0,1,0,0,0
887,"LEGWEAR, IN THE SINGULAR",word meaning + word form,1,1,1,0,1
888,CREDENTIALS FOR ENTRY,semantic relations,0,0,0,0,0
889,PRESIDE OVER,semantic relations,0,0,0,0,0
890,AMERICAN FOOTBALL POSITIONS,encyclopedic,0,0,0,0,0
891,POSTPONE,semantic relations,0,0,0,0,0
892,TOPIC OF DISCUSSION,semantic relations,1,0,0,0,0
893,SECTION OF ONE'S LIFE,semantic relations,0,0,0,0,0
