 ,Connections Categories,Words in Category,Gemini,Claude,GPT4o,Llama,Type of Reasoning
206.0,MALE ANIMALS,"['BUCK', 'BULL', 'JACK', 'TOM']",0,0,0,0.0,Associative Knowledge
207.0,"LEGWEAR, IN THE SINGULAR","['JEAN', 'PANT', 'SHORT', 'TIGHT']",0,0,0,0.0,Semantic Knowledge
208.0,CREDENTIALS FOR ENTRY,"['BADGE', 'INVITE', 'PASS', 'TICKET']",0,0,0,0.0,Associative Knowledge
209.0,PRESIDE OVER,"['CHAIR', 'DIRECT', 'LEAD', 'RUN']",0,0,0,0.0,Semantic Knowledge
210.0,AMERICAN FOOTBALL POSITIONS,"['CENTER', 'END', 'SAFETY', 'TACKLE']",0,0,0,0.0,Encyclopedic Knowledge
211.0,POSTPONE,"['HOLD', 'PUNT', 'STALL', 'TABLE']",0,0,0,0.0,Semantic Knowledge
212.0,TOPIC OF DISCUSSION,"['ISSUE', 'MATTER', 'POINT', 'SUBJECT']",0,0,1,0.0,Semantic Knowledge
213.0,SECTION OF ONE’S LIFE,"['CHAPTER', 'PERIOD', 'PHASE', 'STAGE']",0,0,1,0.0,Associative Knowledge
214.0,"PARTS OF A CAR, INFORMALLY","['DASH', 'SHOCK', 'TANK', 'WHEEL']",0,0,0,1.0,Semantic Knowledge
215.0,COLOR HOMOPHONES,"['BLEW', 'CHORAL', 'READ', 'ROWS']",0,0,0,0.0,Linguistic Knowledge
216.0,STATES OF MATTER,"['GAS', 'LIQUID', 'PLASMA', 'SOLID']",1,1,1,1.0,Semantic Knowledge
217.0,ALL-TIMER,"['GREAT', 'HERO', 'ICON', 'LEGEND']",0,0,0,1.0,Semantic Knowledge
218.0,“PH” WORDS THAT ALSO WORK WITH “F”,"['PHAT', 'PHEW', 'PHILLY', 'PHISH']",1,1,1,0.0,Linguistic Knowledge
219.0,___ PITCH,"['ELEVATOR', 'FEVER', 'PERFECT', 'SALES']",0,0,0,0.0,Multiword Expressions
220.0,BIT OF MAGIC,"['CHARM', 'CURSE', 'HEX', 'SPELL']",0,1,1,1.0,Associative Knowledge
221.0,FOUND AROUND A FIREPLACE,"['FLUE', 'GRATE', 'LOG', 'POKER']",0,0,0,0.0,Associative Knowledge
222.0,THINGS SEEN AT A CASINO,"['CARDS', 'CHIPS', 'DICE', 'SLOTS']",0,0,0,0.0,Associative Knowledge
223.0,WAYS TO PREPARE CHEESE,"['CRUMBLE', 'MELT', 'SHRED', 'SLICE']",0,0,0,0.0,Associative Knowledge
224.0,CLEANING SUPPLIES,"['BROOM', 'MOP', 'RAG', 'SPONGE']",0,0,1,1.0,Semantic Knowledge
225.0,"ELEMENTS OF COOKING, PER SAMIN NOSRAT","['SALT', 'FAT', 'ACID', 'HEAT']",0,0,0,0.0,Encyclopedic Knowledge
226.0,THINGS THAT MAKE YOU SNEEZE,"['DUST', 'PEPPER', 'POLLEN', 'SMOKE']",0,0,0,0.0,Associative Knowledge
227.0,TITULAR FICTIONAL DETECTIVES,"['MAGNUM', 'MONK', 'SHAFT', 'TRACY']",0,1,1,0.0,Encyclopedic Knowledge
228.0,THINGS THAT ARE ORANGE,"['BASKETBALL', 'CARROT', 'GOLDFISH', 'PUMPKIN']",0,0,0,0.0,Associative Knowledge
229.0,"LONG, SKINNY OBJECTS","['POLE', 'ROD', 'STAFF', 'STICK']",0,1,0,0.0,Associative Knowledge
230.0,SEEN ON A GOLF COURSE,"['CART', 'CLUB', 'HOLE', 'TEE']",0,1,1,0.0,Associative Knowledge
231.0,SHAPES OF CAPITAL GREEK LETTERS,"['CIRCLE', 'HORSESHOE', 'PITCHFORK', 'TRIANGLE']",0,0,0,0.0,Encyclopedic Knowledge
232.0,TECH COMPANIES,"['ALPHABET', 'AMAZON', 'APPLE', 'META']",0,0,1,0.0,Encyclopedic Knowledge
233.0,KINDS OF EXAMS,"['BAR', 'FINAL', 'ORAL', 'PHYSICAL']",0,0,0,0.0,Associative Knowledge
234.0,SOMETHING EXEMPLARY,"['BEAUTY', 'GEM', 'MARVEL', 'PEACH']",0,0,0,0.0,Semantic Knowledge
235.0,___ TOOTH,"['BABY', 'EYE', 'SWEET', 'WISDOM']",0,0,0,0.0,Multiword Expressions
236.0,STRONG SMELL,"['FUNK', 'MUSK', 'ODOR', 'TANG']",0,0,0,0.0,Semantic Knowledge
237.0,MOVE BACK AND FORTH,"['ROCK', 'SWAY', 'SWING', 'WAVE']",0,0,0,0.0,Semantic Knowledge
238.0,THINGS TO PICK,"['AFRO', 'BONE', 'FIGHT', 'LOCK']",0,0,0,0.0,Associative Knowledge
239.0,___ BALL,"['CRYSTAL', 'DISCO', 'FOUL', 'GUTTER']",0,0,0,0.0,Multiword Expressions
240.0,PLAYFULLY BOTHER,"['JOSH', 'KID', 'RIB', 'TEASE']",0,1,0,0.0,Semantic Knowledge
241.0,APEX,"['HEIGHT', 'MAX', 'PEAK', 'TOP']",0,0,1,1.0,Semantic Knowledge
242.0,WORDS FOR SPECIFIC QUANTITIES,"['DOZEN', 'GROSS', 'PAIR', 'SCORE']",0,0,0,0.0,Associative Knowledge
243.0,WHAT “X” MIGHT MEAN,"['ADULT', 'KISS', 'TEN', 'TIMES']",0,0,0,0.0,Associative Knowledge
244.0,GIFT-GIVING ACCESSORIES,"['BOW', 'BOX', 'CARD', 'WRAPPING']",0,0,1,1.0,Associative Knowledge
245.0,DATING APP ACTIONS,"['BLOCK', 'MATCH', 'MESSAGE', 'SWIPE']",0,0,0,0.0,Encyclopedic Knowledge
246.0,"COOL, IN SLANG","['FIRE', 'LIT', 'SICK', 'TIGHT']",0,0,0,0.0,Combined Category
247.0,LUCKY ___,"['BREAK', 'CHARM', 'DUCK', 'STRIKE']",0,0,0,0.0,Multiword Expressions
248.0,MOVE THROUGH THE AIR,"['FLOAT', 'FLY', 'GLIDE', 'SOAR']",0,0,1,0.0,Semantic Knowledge
249.0,HIDDEN LISTENING DEVICES,"['BUG', 'MIKE', 'TAP', 'WIRE']",0,0,0,0.0,Combined Category
250.0,"SELECT, AS A BOX ON A FORM","['CHECK', 'MARK', 'TICK', 'X']",0,0,0,0.0,Associative Knowledge
251.0,RAPPERS MINUS FIRST LETTER,"['40', 'COLE', 'PAIN', 'TIP']",0,0,0,0.0,Combined Category
252.0,B.L.T. INGREDIENTS,"['BREAD', 'BACON', 'LETTUCE', 'TOMATO']",0,0,1,0.0,Associative Knowledge
253.0,OBSTRUCT,"['BLOCK', 'CLOG', 'JAM', 'STOP']",0,0,0,0.0,Semantic Knowledge
254.0,BASEBALL STATS,"['DOUBLE', 'HIT', 'RUN', 'WALK']",0,0,0,0.0,Associative Knowledge
255.0,SMALL ___,"['FRY', 'TALK', 'WONDER', 'WORLD']",0,0,0,0.0,Multiword Expressions
256.0,GARDENING NOUNS/VERBS,"['PLANT', 'SEED', 'WATER', 'WEED']",0,0,0,0.0,Semantic Knowledge
257.0,KINDS OF SALADS,"['CAESAR', 'GREEK', 'GREEN', 'WEDGE']",0,0,0,0.0,Semantic Knowledge
258.0,"CLASSIC GAME SHOWS, FAMILIARLY","['FEUD', 'MILLIONAIRE', 'PYRAMID', 'WHEEL']",0,0,0,0.0,Encyclopedic Knowledge
259.0,W + VOWEL SOUND,"['WAY', 'WEE', 'WHY', 'WHOA']",0,0,0,0.0,Linguistic Knowledge
260.0,ORGANIZATION,"['CLUB', 'GROUP', 'PARTY', 'TEAM']",0,0,0,1.0,Associative Knowledge
261.0,"SHARPNESS, AS OF AN IMAGE","['CLARITY', 'DEFINITION', 'DETAIL', 'RESOLUTION']",0,1,0,0.0,Associative Knowledge
262.0,PLACES IN FRANCE,"['CHAMPAGNE', 'DIJON', 'NICE', 'TOURS']",0,0,1,0.0,Encyclopedic Knowledge
263.0,HAPPY NEW YEAR!,"['BALL', 'COUNTDOWN', 'FIREWORKS', 'KISS']",0,0,0,0.0,Associative Knowledge
264.0,BLACK-AND-WHITE ANIMALS,"['ORCA', 'PANDA', 'SKUNK', 'ZEBRA']",1,1,0,0.0,Semantic Knowledge
265.0,SEQUENCE,"['CHAIN', 'SERIES', 'STRING', 'TRAIN']",0,0,0,0.0,Semantic Knowledge
266.0,HETERONYMS,"['BASS', 'DOVE', 'DESERT', 'WIND']",0,0,0,0.0,Linguistic Knowledge
267.0,___ TRAP,"['BEAR', 'SAND', 'SPEED', 'TOURIST']",0,0,0,0.0,Multiword Expressions
268.0,SHIRTS,"['CROP', 'POLO', 'TANK', 'TEE']",0,0,1,0.0,Semantic Knowledge
269.0,"COOL, IN ’80S SLANG","['BAD', 'FLY', 'FRESH', 'RAD']",0,1,0,0.0,Encyclopedic Knowledge
270.0,LETTER SPELLINGS,"['BEE', 'EX', 'GEE', 'JAY']",0,0,1,0.0,Linguistic Knowledge
271.0,___ GEORGE,"['BOY', 'BY', 'CURIOUS', 'SAINT']",0,0,0,0.0,Multiword Expressions
272.0,PARTS OF A CAR,"['BUMPER', 'HOOD', 'TIRE', 'TRUNK']",0,1,0,1.0,Semantic Knowledge
273.0,MOVE QUICKLY,"['BOLT', 'DART', 'DASH', 'ZIP']",0,1,1,0.0,Semantic Knowledge
274.0,BIRDS,"['CARDINAL', 'JAY', 'LARK', 'SWIFT']",0,1,1,1.0,Semantic Knowledge
275.0,JAZZ LEGENDS,"['HANCOCK', 'HOLIDAY', 'MONK', 'PARKER']",0,0,0,0.0,Encyclopedic Knowledge
276.0,INDICATION OF THINGS TO COME,"['MESSAGE', 'OMEN', 'SIGN', 'WARNING']",0,0,1,0.0, Associative Knowledge
277.0,NAME PREFIXES,"['GEN', 'MS', 'PROF', 'REV']",0,0,0,0.0,Associative Knowledge
278.0,ART MEDIUMS,"['CHARCOAL', 'INK', 'PAINT', 'PASTEL']",0,0,1,1.0,Semantic Knowledge
279.0,___ PEPPER,"['BELL', 'BLACK', 'DR', 'GHOST']",0,0,0,0.0,Multiword Expressions
280.0,ROAD NAMES,"['ALLEY', 'DRIVE', 'LANE', 'STREET']",0,1,1,0.0,Semantic Knowledge
281.0,PAPER IN A BOOK,"['FOLIO', 'LEAF', 'PAGE', 'SHEET']",0,1,0,0.0,Associative Knowledge
282.0,RESTRAIN,"['CHECK', 'CURB', 'LIMIT', 'STEM']",0,0,0,0.0,Semantic Knowledge
283.0,THINGS YOU CAN DO TO YOUR NOSE,"['BLOW', 'HOLD', 'PICK', 'THUMB']",0,0,0,1.0,Associative Knowledge
284.0,DARLING,"['BABY', 'BOO', 'DEAR', 'LOVE']",1,1,0,0.0,Semantic Knowledge
285.0,BASIC GEOMETRIC OBJECTS,"['LINE', 'POINT', 'RAY', 'SEGMENT']",0,1,0,1.0,Semantic Knowledge
286.0,OOMPH,"['ENERGY', 'FIRE', 'JUICE', 'ZIP']",0,1,0,0.0,Semantic Knowledge
287.0,SECRET ___,"['AGENT', 'CODE', 'SANTA', 'SAUCE']",0,0,0,0.0,Multiword Expressions
288.0,GENTLE,"['LIGHT', 'MELLOW', 'MILD', 'SOFT']",0,1,1,1.0,Semantic Knowledge
289.0,CUTS OF PORK,"['BELLY', 'CHOP', 'HOCK', 'SHOULDER']",0,0,0,0.0,Semantic Knowledge
290.0,STATUE OF LIBERTY FEATURES,"['CROWN', 'ROBE', 'TABLET', 'TORCH']",0,0,0,0.0,Encyclopedic Knowledge
291.0,THINGS TO BLOW ON FOR WISHES/LUCK,"['CANDLE', 'DANDELION', 'DICE', 'EYELASH']",0,0,0,0.0,Associative Knowledge
292.0,MEANS OF TRANSPORTATION,"['BOAT', 'CAR', 'PLANE', 'TRAIN']",1,1,1,1.0,Semantic Knowledge
293.0,WILLING TO PARTICIPATE,"['DOWN', 'GAME', 'IN', 'ON BOARD']",0,0,0,0.0,Semantic Knowledge
294.0,"LITTLE BIT, IN A RECIPE","['DASH', 'DROP', 'PINCH', 'SPLASH']",0,0,0,0.0,Semantic Knowledge
295.0,___BERRY,"['BLUE', 'GOOSE', 'RASP', 'STRAW']",0,1,0,0.0,Multiword Expressions
296.0,CLASSIC HALLOWEEN COSTUMES,"['ANGEL', 'CLOWN', 'PIRATE', 'WITCH']",0,0,0,0.0,Encyclopedic Knowledge
297.0,BEE CREATIONS,"['COMB', 'HIVE', 'HONEY', 'WAX']",0,1,1,1.0,Semantic Knowledge
298.0,INTERVAL OF TIME,"['PERIOD', 'SPELL', 'STRETCH', 'WHILE']",0,0,1,0.0,Semantic Knowledge
299.0,ANIMAL HOMOPHONES,"['DEAR', 'HAIR', 'HOARSE', 'WAIL']",0,0,0,0.0,Linguistic Knowledge
300.0,SEEN IN A LAUNDRY ROOM,"['DRYER', 'HAMPER', 'IRON', 'WASHER']",1,0,0,1.0,Associative Knowledge 
301.0,SHEPHERD,"['DIRECT', 'GUIDE', 'LEAD', 'STEER']",0,0,0,1.0,Semantic Knowledge
302.0,WHAT “I” MIGHT MEAN,"['IODINE', 'IOTA', 'MYSELF', 'ONE']",0,0,0,0.0,Associative Knowledge
303.0,___ VALLEY,"['DEATH', 'HIDDEN', 'SILICON', 'UNCANNY']",0,0,0,0.0,Multiword Expressions
304.0,CONTACT VIA PHONE,"['BUZZ', 'CALL', 'DIAL', 'RING']",1,1,0,1.0,Semantic Knowledge
305.0,BOOK SECTIONS,"['APPENDIX', 'CHAPTER', 'INDEX', 'PREFACE']",1,1,1,0.0,Semantic Knowledge
306.0,WEE,"['DINKY', 'LITTLE', 'MINUTE', 'SLIGHT']",1,0,1,0.0,Semantic Knowledge
307.0,CARTOON MICE,"['ITCHY', 'JERRY', 'PINKY', 'SPEEDY']",0,1,0,0.0,Encyclopedic Knowledge
308.0,ACCESSORIES,"['BELT', 'BRACELET', 'TIE', 'WATCH']",1,0,0,1.0,Semantic Knowledge
309.0,COMEDIAN’S OUTPUT,"['BIT', 'JOKE', 'ROUTINE', 'SKETCH']",0,0,0,0.0,Associative Knowledge
310.0,ATTRACTION,"['APPEAL', 'CHARM', 'DRAW', 'PULL']",0,0,0,1.0,Semantic Knowledge
311.0,TWO LETTERS + NUMBER,"['CANINE', 'FREIGHT', 'OFTEN', 'STONE']",0,0,0,0.0,Linguistic Knowledge
312.0,BRIEF MOMENT,"['FLASH', 'JIFFY', 'SECOND', 'WINK']",0,0,0,0.0,Semantic Knowledge
313.0,PRIMARY,"['CHIEF', 'FIRST', 'MAIN', 'PRINCIPAL']",0,1,0,0.0,Semantic Knowledge
314.0,AVENUES IN N.Y.C.,"['BROADWAY', 'FIFTH', 'MADISON', 'PARK']",0,0,0,1.0,Encyclopedic Knowledge
315.0,___ HOUR,"['AMATEUR', 'ELEVENTH', 'HAPPY', 'RUSH']",0,0,0,0.0,Multiword Expressions
316.0,RESERVE FOR LATER,"['BANK', 'SAVE', 'STASH', 'STORE']",0,1,1,0.0,Semantic Knowledge
317.0,"BOLDNESS, FIGURATIVELY","['GALL', 'GUTS', 'NERVE', 'STONES']",0,1,0,0.0,Semantic Knowledge
318.0,USED TO BUILD A SNOWMAN,"['CARROT', 'COAL', 'SNOW', 'STICKS']",0,0,0,0.0,Associative Knowledge
319.0,FUNNY ___,"['BONE', 'BUSINESS', 'GIRL', 'PAGES']",0,0,0,0.0,Multiword Expressions
320.0,FARM TOOLS,"['HOE', 'PLOW', 'RAKE', 'SICKLE']",1,1,1,1.0,Semantic Knowledge
321.0,SCHEME,"['PLOT', 'PLOY', 'RUSE', 'TRICK']",0,0,1,0.0,Semantic Knowledge
322.0,MAKE HAPPY,"['AMUSE', 'DELIGHT', 'PLEASE', 'TICKLE']",0,0,1,1.0,Semantic Knowledge
323.0,ONOMATOPOEIA,"['BANG', 'PLOP', 'SPLASH', 'THUD']",1,1,1,1.0,Linguistic Knowledge
324.0,CURMUDGEON,"['CRAB', 'CRANK', 'GROUCH', 'GRUMP']",0,0,0,0.0,Semantic Knowledge
325.0,GET LOW,"['CROUCH', 'DUCK', 'SQUAT', 'STOOP']",0,0,0,0.0,Semantic Knowledge
326.0,NATIONAL SYMBOLS,"['ANTHEM', 'FLAG', 'MOTTO', 'SEAL']",0,1,1,1.0,Semantic Knowledge
327.0,SWINDLER,"['CHEAT', 'CROOK', 'QUACK', 'SHARK']",0,0,0,0.0,Semantic Knowledge
328.0,PESTER,"['BADGER', 'BUG', 'HOUND', 'NAG']",0,0,0,0.0,Semantic Knowledge
329.0,SPORTS VENUES,"['ARENA', 'BOWL', 'DOME', 'FIELD']",0,0,0,0.0,Associative Knowledge
330.0,SEPARATE,"['DIVIDE', 'FORK', 'PART', 'SPLIT']",0,0,1,0.0,Semantic Knowledge
331.0,SILVER ___,"['FOX', 'LINING', 'SCREEN', 'SPOON']",0,0,0,0.0,Multiword Expressions
332.0,GOLF COURSE PARTS,"['BUNKER', 'FAIRWAY', 'GREEN', 'ROUGH']",0,0,1,1.0,Semantic Knowledge
333.0,“I GIVE!”,"['ENOUGH', 'MERCY', 'STOP', 'UNCLE']",0,0,0,0.0,Associative Knowledge
334.0,INDECENT,"['BAWDY', 'BLUE', 'COARSE', 'RISQUE']",0,0,0,0.0,Semantic Knowledge
335.0,”-OUGH” WORDS THAT DON’T RHYME,"['BOUGH', 'COUGH', 'DOUGH', 'TOUGH']",0,0,0,0.0,Linguistic Knowledge
336.0,MURKY CONDITION,"['CLOUD', 'FOG', 'HAZE', 'MIST']",1,0,1,1.0,Semantic Knowledge
337.0,FOLLOW,"['SHADOW', 'TAIL', 'TRACK', 'TRAIL']",0,1,0,0.0,Semantic Knowledge
338.0,PINBALL MACHINE COMPONENTS,"['BALL', 'BUMPER', 'FLIPPER', 'PLUNGER']",0,1,0,0.0,Semantic Knowledge
339.0,___LAND COUNTRIES,"['ICE', 'IRE', 'FIN', 'NETHER']",0,0,0,0.0,Multiword Expressions
340.0,LUXURIOUS FABRICS,"['CHIFFON', 'SATIN', 'SILK', 'VELVET']",0,0,1,1.0,Semantic Knowledge
341.0,COME DOWN TO REST,"['PERCH', 'ROOST', 'SETTLE', 'LAND']",1,0,0,0.0,Semantic Knowledge
342.0,SHOE PARTS,"['EYELET', 'LACE', 'SOLE', 'TONGUE']",0,0,0,0.0,Semantic Knowledge
343.0,THINGS THAT ARE DELIVERED,"['BABY', 'BLOW', 'PACKAGE', 'SPEECH']",0,0,0,0.0,Associative Knowledge
344.0,PARTS OF A RIVER,"['BANK', 'BED', 'DELTA', 'MOUTH']",1,1,0,0.0,Semantic Knowledge
345.0,SOMETHING EASY TO DO,"['BREEZE', 'CINCH', 'PICNIC', 'SNAP']",0,0,0,0.0,Linguistic Knowledge
346.0,WRAP AROUND IN A CIRCLE,"['COIL', 'SPIRAL', 'TWIST', 'WIND']",0,0,1,0.0,Semantic Knowledge
347.0,JUMP INTO THE AIR,"['BOUND', 'LEAP', 'SPRING', 'VAULT']",1,0,0,1.0,Semantic Knowledge
348.0,ICE CREAM TREATS,"['FLOAT', 'SHAKE', 'SPLIT', 'SUNDAE']",0,0,1,0.0,Associative Knowledge
349.0,HARDWARE FASTENERS,"['BOLT', 'NAIL', 'RIVET', 'SCREW']",1,1,0,1.0,Semantic Knowledge
350.0,KINDS OF COOKING OIL,"['CORN', 'OLIVE', 'PALM', 'PEANUT']",0,0,1,0.0,Semantic Knowledge
351.0,STICKY ___,"['FINGERS', 'NOTE', 'RICE', 'WICKET']",0,0,0,0.0,Multiword Expressions
352.0,DECLINE,"['EBB', 'FADE', 'FLAG', 'WANE']",0,0,0,0.0,Semantic Knowledge
353.0,ABSOLUTE,"['PURE', 'SHEER', 'TOTAL', 'UTTER']",0,0,0,1.0,Semantic Knowledge
354.0,EXPRESS,"['AIR', 'SPEAK', 'STATE', 'VOICE']",0,0,0,0.0,Semantic Knowledge
355.0,SUPERHERO LAST NAMES,"['BANNER', 'PRINCE', 'STARK', 'WAYNE']",0,0,0,0.0,Encyclopedic Knowledge
356.0,STATE ABBREVIATIONS,"['HI', 'LA', 'MA', 'OK']",0,0,0,1.0,Encyclopedic Knowledge
357.0,CABLE CHANNELS,"['BET', 'E', 'HALLMARK', 'USA']",0,0,0,0.0,Encyclopedic Knowledge
358.0,IN THE NATO ALPHABET,"['ALFA', 'BRAVO', 'ROMEO', 'TANGO']",1,1,1,1.0,Encyclopedic Knowledge
359.0,___-___,"['BOO', 'POM', 'TOM', 'YO']",0,0,0,0.0,Linguistic Knowledge
360.0,FOUND ON SHEET MUSIC,"['CLEF', 'NOTE', 'REST', 'STAFF']",0,0,1,1.0,Associative Knowledge
361.0,ZODIAC SYMBOLS,"['BULL', 'CRAB', 'SCALES', 'TWINS']",0,0,0,0.0,Encyclopedic Knowledge
362.0,RECORD LABELS,"['CAPITOL', 'COLUMBIA', 'VIRGIN', 'ISLAND']",0,0,0,0.0,Encyclopedic Knowledge
363.0,ZODIAC SIGN BEGINNINGS,"['CAN', 'GEM', 'LIB', 'TAU']",0,0,0,0.0,Combined Category
364.0,ENORMOUS,"['BIG', 'GIANT', 'GREAT', 'HUGE']",1,1,1,1.0,Semantic Knowledge
365.0,BOOKSTORE SECTIONS,"['FICTION', 'HUMOR', 'POETRY', 'TRAVEL']",0,0,0,0.0,Associative Knowledge
366.0,TV SHOWS WITH HAPPY-SOUNDING NAMES,"['CHEERS', 'EUPHORIA', 'FELICITY', 'GLEE']",0,0,0,0.0,Encyclopedic Knowledge
367.0,___ CRANE,"['CONSTRUCTION', 'FRASIER', 'PAPER', 'WHOOPING']",0,0,0,0.0,Multiword Expressions
368.0,UNIT OF BREAD,"['BAGUETTE', 'BUN', 'LOAF', 'ROLL']",1,1,0,0.0,Semantic Knowledge
369.0,"ASSURE, AS A WIN","['CLINCH', 'GUARANTEE', 'LOCK', 'SECURE']",0,1,1,0.0,Semantic Knowledge
370.0,SMALL IMPERFECTION,"['CHIP', 'MARK', 'NICK', 'SCRATCH']",1,1,0,0.0,Associative Knowledge
371.0,HEAD OF ___,"['HAIR', 'LETTUCE', 'STATE', 'STEAM']",0,0,0,0.0,Multiword Expressions
372.0,MONTHLY BILLS,"['CABLE', 'ELECTRIC', 'GAS', 'WATER']",0,0,0,0.0,Associative Knowledge
373.0,RELATED TO SOUND/HEARING,"['ACOUSTIC', 'AUDITORY', 'HEARD', 'SONIC']",0,0,0,0.0,Semantic Knowledge
374.0,CONNECT,"['COUPLE', 'HITCH', 'LINK', 'TIE']",0,1,1,0.0,Semantic Knowledge
375.0,"EXCITE, WITH “UP”","['AMP', 'FIRE', 'HYPE', 'PUMP']",0,0,0,0.0,Linguistic Knowledge
376.0,CONTAINERS,"['BASKET', 'BIN', 'CHEST', 'HAMPER']",0,1,0,1.0,Semantic Knowledge
377.0,CIRCULAR SHAPES,"['BAND', 'CIRCLE', 'HOOP', 'RING']",0,0,0,0.0,Semantic Knowledge
378.0,RESTRICT,"['CAP', 'CHECK', 'CURB', 'LIMIT']",0,0,0,0.0,Semantic Knowledge
379.0,___ JAM,"['NBA', 'PAPER', 'PEARL', 'TRAFFIC']",0,0,0,0.0,Multiword Expressions
380.0,PLACES TO SHOP,"['MALL', 'MARKET', 'OUTLET', 'STORE']",0,1,1,1.0,Semantic Knowledge
381.0,WAYS TO REMOVE HAIR,"['SHAVE', 'THREAD', 'TWEEZE', 'WAX']",0,0,0,1.0,Associative Knowledge
382.0,PORTION OF PROFIT,"['CUT', 'PIECE', 'SHARE', 'TAKE']",0,0,0,0.0,Associative Knowledge
383.0,KINDS OF WRENCHES,"['ALLEN', 'CRESCENT', 'MONKEY', 'SOCKET']",0,1,1,0.0,Encyclopedic Knowledge
384.0,AVOID,"['DODGE', 'DUCK', 'ESCAPE', 'SKIRT']",0,0,0,0.0,Semantic Knowledge
385.0,HITCHCOCK MOVIES,"['BIRDS', 'NOTORIOUS', 'REBECCA', 'ROPE']",0,0,0,0.0,Encyclopedic Knowledge
386.0,SIDEKICKS,"['GOOSE', 'HOBBES', 'ROBIN', 'WATSON']",0,0,0,0.0,Encyclopedic Knowledge
387.0,___ CHEESE,"['COTTAGE', 'CREAM', 'SAY', 'STRING']",0,0,0,0.0,Multiword Expressions
388.0,FOOT PARTS,"['ARCH', 'BALL', 'SOLE', 'TOE']",0,1,0,0.0,Semantic Knowledge
389.0,MUSICAL INSTRUMENTS,"['BASS', 'HARP', 'HORN', 'ORGAN']",0,1,1,1.0,Semantic Knowledge
390.0,DOG COMMANDS,"['COME', 'DOWN', 'SIT', 'STAY']",1,0,0,1.0,Associative Knowledge
391.0,BADDIE,"['DOG', 'HEEL', 'JERK', 'SNAKE']",0,0,0,0.0,Associative Knowledge
392.0,ROOMS IN A HOUSE,"['BEDROOM', 'DEN', 'KITCHEN', 'STUDY']",0,0,1,1.0,Semantic Knowledge
393.0,LAND SURROUNDED BY WATER,"['ATOLL', 'BAR', 'ISLAND', 'KEY']",0,0,1,1.0,Associative Knowledge
394.0,FILL TO EXCESS,"['CRAM', 'JAM', 'PACK', 'STUFF']",0,0,0,0.0,Semantic Knowledge
395.0,BEAN ___,"['BAG', 'COUNTER', 'DIP', 'SPROUT']",0,0,0,0.0,Multiword Expressions
396.0,CARRY A TUNE,"['HUM', 'SING', 'SCAT', 'WHISTLE']",0,1,0,0.0,Semantic Knowledge
397.0,WHOLE AMOUNT,"['COUNT', 'GROSS', 'SUM', 'TOTAL']",0,0,1,0.0,Semantic Knowledge
398.0,MOJITO INGREDIENTS,"['LIME', 'MINT', 'RUM', 'SODA']",0,0,0,0.0,Associative Knowledge
399.0,THINGS THAT ARE “STICKY”,"['GLUE', 'GUM', 'TAPE', 'STICK']",1,1,1,0.0,Semantic Knowledge
400.0,MUNICIPALITIES,"['CITY', 'COUNTY', 'TOWN', 'VILLAGE']",1,0,1,1.0,Semantic Knowledge
401.0,BLENDER BUTTONS,"['CHOP', 'GRIND', 'PULSE', 'PUREE']",1,1,1,0.0,Associative Knowledge
402.0,FINANCIAL TERMS,"['CAPITAL', 'EQUITY', 'INTEREST', 'STOCK']",1,1,1,1.0,Associative Knowledge
403.0,___ LEAGUE,"['IVY', 'JUSTICE', 'LITTLE', 'PREMIER']",0,1,0,0.0,Multiword Expressions
404.0,SECLUDED,"['HIDDEN', 'PRIVATE', 'REMOTE', 'SECRET']",0,1,1,0.0,Semantic Knowledge
405.0,AGGREGATE SIZE,"['AMOUNT', 'NUMBER', 'QUANTITY', 'VOLUME']",1,1,1,1.0,Semantic Knowledge
406.0,BODIES OF WATER,"['CANAL', 'CHANNEL', 'SOUND', 'STRAIT']",0,1,1,0.0,Associative Knowledge
407.0,READS THE SAME ROTATED 180°,"['96', 'MOW', 'NOON', 'SIS']",0,0,0,0.0,Associative Knowledge
408.0,CRITICIZE,"['KNOCK', 'PAN', 'ROAST', 'SLAM']",0,0,0,0.0,Semantic Knowledge
409.0,REALITY SHOWS,"['ALONE', 'CATFISH', 'CHOPPED', 'SURVIVOR']",0,0,0,1.0,Encyclopedic Knowledge
410.0,CAR BRANDS,"['FIAT', 'JAGUAR', 'MINI', 'RAM']",0,1,0,0.0,Encyclopedic Knowledge
411.0,___ PAD,"['BACHELOR', 'LILY', 'MAXI', 'MOUSE']",0,0,0,0.0,Multiword Expressions
412.0,FOODS WITH CRUSTS,"['PASTY', 'PIE', 'TART', 'TURNOVER']",0,0,0,0.0,Associative Knowledge
413.0,ENDING IN A SILENT “T”,"['BOUQUET', 'PARFAIT', 'RAGOUT', 'RAPPORT']",0,0,0,0.0,Linguistic Knowledge
414.0,COUNTRIES WITH RED AND WHITE FLAGS,"['JAPAN', 'POLAND', 'TUNISIA', 'TURKEY']",0,0,0,0.0,Encyclopedic Knowledge
415.0,N.B.A. GREATS,"['BIRD', 'CURRY', 'JAMES', 'JORDAN']",0,0,0,0.0,Encyclopedic Knowledge
416.0,AREAS BETWEEN MOUNTAINS AND HILLS,"['CANYON', 'GULCH', 'PASS', 'RAVINE']",0,0,0,0.0,Associative Knowledge
