" ",Connections Categories,Words in Category,Gemini,Claude,GPT4o,Llama3-70B,Type of Reasoning
218,“PH” WORDS THAT ALSO WORK WITH “F”,"['PHAT', 'PHEW', 'PHILLY', 'PHISH']",1,1,1,0,Linguistic Knowledge
219,___ PITCH,"['ELEVATOR', 'FEVER', 'PERFECT', 'SALES']",0,0,0,0,Multiword Expressions
220,BIT OF MAGIC,"['CHARM', 'CURSE', 'HEX', 'SPELL']",0,1,1,1,Associative Knowledge
221,FOUND AROUND A FIREPLACE,"['FLUE', 'GRATE', 'LOG', 'POKER']",0,0,0,0,Associative Knowledge
222,THINGS SEEN AT A CASINO,"['CARDS', 'CHIPS', 'DICE', 'SLOTS']",0,0,0,0,Associative Knowledge
223,WAYS TO PREPARE CHEESE,"['CRUMBLE', 'MELT', 'SHRED', 'SLICE']",0,0,0,0,Associative Knowledge
224,CLEANING SUPPLIES,"['BROOM', 'MOP', 'RAG', 'SPONGE']",0,0,1,1,Semantic Knowledge
225,"ELEMENTS OF COOKING, PER SAMIN NOSRAT","['SALT', 'FAT', 'ACID', 'HEAT']",0,0,0,0,Encyclopedic Knowledge
226,THINGS THAT MAKE YOU SNEEZE,"['DUST', 'PEPPER', 'POLLEN', 'SMOKE']",0,0,0,0,Associative Knowledge
227,TITULAR FICTIONAL DETECTIVES,"['MAGNUM', 'MONK', 'SHAFT', 'TRACY']",0,1,1,0,Encyclopedic Knowledge
228,THINGS THAT ARE ORANGE,"['BASKETBALL', 'CARROT', 'GOLDFISH', 'PUMPKIN']",0,0,0,0,Associative Knowledge
229,"LONG, SKINNY OBJECTS","['POLE', 'ROD', 'STAFF', 'STICK']",0,1,0,0,Associative Knowledge
230,SEEN ON A GOLF COURSE,"['CART', 'CLUB', 'HOLE', 'TEE']",0,1,1,0,Associative Knowledge
231,SHAPES OF CAPITAL GREEK LETTERS,"['CIRCLE', 'HORSESHOE', 'PITCHFORK', 'TRIANGLE']",0,0,0,0,Encyclopedic Knowledge
232,TECH COMPANIES,"['ALPHABET', 'AMAZON', 'APPLE', 'META']",0,0,1,0,Encyclopedic Knowledge
233,KINDS OF EXAMS,"['BAR', 'FINAL', 'ORAL', 'PHYSICAL']",0,0,0,0,Associative Knowledge
234,SOMETHING EXEMPLARY,"['BEAUTY', 'GEM', 'MARVEL', 'PEACH']",0,0,0,0,Semantic Knowledge
235,___ TOOTH,"['BABY', 'EYE', 'SWEET', 'WISDOM']",0,0,0,0,Multiword Expressions
236,STRONG SMELL,"['FUNK', 'MUSK', 'ODOR', 'TANG']",0,0,0,0,Semantic Knowledge
237,MOVE BACK AND FORTH,"['ROCK', 'SWAY', 'SWING', 'WAVE']",0,0,0,0,Semantic Knowledge
238,THINGS TO PICK,"['AFRO', 'BONE', 'FIGHT', 'LOCK']",0,0,0,0,Associative Knowledge
239,___ BALL,"['CRYSTAL', 'DISCO', 'FOUL', 'GUTTER']",0,0,0,0,Multiword Expressions
240,PLAYFULLY BOTHER,"['JOSH', 'KID', 'RIB', 'TEASE']",0,1,0,0,Semantic Knowledge
241,APEX,"['HEIGHT', 'MAX', 'PEAK', 'TOP']",0,0,1,1,Semantic Knowledge
242,WORDS FOR SPECIFIC QUANTITIES,"['DOZEN', 'GROSS', 'PAIR', 'SCORE']",0,0,0,0,Associative Knowledge
243,WHAT “X” MIGHT MEAN,"['ADULT', 'KISS', 'TEN', 'TIMES']",0,0,0,0,Associative Knowledge
244,GIFT-GIVING ACCESSORIES,"['BOW', 'BOX', 'CARD', 'WRAPPING']",0,0,1,1,Associative Knowledge
245,DATING APP ACTIONS,"['BLOCK', 'MATCH', 'MESSAGE', 'SWIPE']",0,0,0,0,Encyclopedic Knowledge
246,"COOL, IN SLANG","['FIRE', 'LIT', 'SICK', 'TIGHT']",0,0,0,0,Combined Category
247,LUCKY ___,"['BREAK', 'CHARM', 'DUCK', 'STRIKE']",0,0,0,0,Multiword Expressions
248,MOVE THROUGH THE AIR,"['FLOAT', 'FLY', 'GLIDE', 'SOAR']",0,0,1,0,Semantic Knowledge
249,HIDDEN LISTENING DEVICES,"['BUG', 'MIKE', 'TAP', 'WIRE']",0,0,0,0,Combined Category
250,"SELECT, AS A BOX ON A FORM","['CHECK', 'MARK', 'TICK', 'X']",0,0,0,0,Associative Knowledge
251,RAPPERS MINUS FIRST LETTER,"['40', 'COLE', 'PAIN', 'TIP']",0,0,0,0,Combined Category
252,B.L.T. INGREDIENTS,"['BREAD', 'BACON', 'LETTUCE', 'TOMATO']",0,0,1,0,Associative Knowledge
253,OBSTRUCT,"['BLOCK', 'CLOG', 'JAM', 'STOP']",0,0,0,0,Semantic Knowledge
254,BASEBALL STATS,"['DOUBLE', 'HIT', 'RUN', 'WALK']",0,0,0,0,Associative Knowledge
255,SMALL ___,"['FRY', 'TALK', 'WONDER', 'WORLD']",0,0,0,0,Multiword Expressions
256,GARDENING NOUNS/VERBS,"['PLANT', 'SEED', 'WATER', 'WEED']",0,0,0,0,Semantic Knowledge
257,KINDS OF SALADS,"['CAESAR', 'GREEK', 'GREEN', 'WEDGE']",0,0,0,0,Semantic Knowledge
258,"CLASSIC GAME SHOWS, FAMILIARLY","['FEUD', 'MILLIONAIRE', 'PYRAMID', 'WHEEL']",0,0,0,0,Encyclopedic Knowledge
259,W + VOWEL SOUND,"['WAY', 'WEE', 'WHY', 'WHOA']",0,0,0,0,Linguistic Knowledge
260,ORGANIZATION,"['CLUB', 'GROUP', 'PARTY', 'TEAM']",0,0,0,1,Associative Knowledge
261,"SHARPNESS, AS OF AN IMAGE","['CLARITY', 'DEFINITION', 'DETAIL', 'RESOLUTION']",0,1,0,0,Associative Knowledge
262,PLACES IN FRANCE,"['CHAMPAGNE', 'DIJON', 'NICE', 'TOURS']",0,0,1,0,Encyclopedic Knowledge
263,HAPPY NEW YEAR!,"['BALL', 'COUNTDOWN', 'FIREWORKS', 'KISS']",0,0,0,0,Associative Knowledge
264,BLACK-AND-WHITE ANIMALS,"['ORCA', 'PANDA', 'SKUNK', 'ZEBRA']",1,1,0,0,Semantic Knowledge
265,SEQUENCE,"['CHAIN', 'SERIES', 'STRING', 'TRAIN']",0,0,0,0,Semantic Knowledge
266,HETERONYMS,"['BASS', 'DOVE', 'DESERT', 'WIND']",0,0,0,0,Linguistic Knowledge
267,___ TRAP,"['BEAR', 'SAND', 'SPEED', 'TOURIST']",0,0,0,0,Multiword Expressions
268,SHIRTS,"['CROP', 'POLO', 'TANK', 'TEE']",0,0,1,0,Semantic Knowledge
269,"COOL, IN ’80S SLANG","['BAD', 'FLY', 'FRESH', 'RAD']",0,1,0,0,Encyclopedic Knowledge
270,LETTER SPELLINGS,"['BEE', 'EX', 'GEE', 'JAY']",0,0,1,0,Linguistic Knowledge
271,___ GEORGE,"['BOY', 'BY', 'CURIOUS', 'SAINT']",0,0,0,0,Multiword Expressions
272,PARTS OF A CAR,"['BUMPER', 'HOOD', 'TIRE', 'TRUNK']",0,1,0,1,Semantic Knowledge
273,MOVE QUICKLY,"['BOLT', 'DART', 'DASH', 'ZIP']",0,1,1,0,Semantic Knowledge
274,BIRDS,"['CARDINAL', 'JAY', 'LARK', 'SWIFT']",0,1,1,1,Semantic Knowledge
275,JAZZ LEGENDS,"['HANCOCK', 'HOLIDAY', 'MONK', 'PARKER']",0,0,0,0,Encyclopedic Knowledge
276,INDICATION OF THINGS TO COME,"['MESSAGE', 'OMEN', 'SIGN', 'WARNING']",0,0,1,0," Associative Knowledge"
277,NAME PREFIXES,"['GEN', 'MS', 'PROF', 'REV']",0,0,0,0,Associative Knowledge
278,ART MEDIUMS,"['CHARCOAL', 'INK', 'PAINT', 'PASTEL']",0,0,1,1,Semantic Knowledge
279,___ PEPPER,"['BELL', 'BLACK', 'DR', 'GHOST']",0,0,0,0,Multiword Expressions
280,ROAD NAMES,"['ALLEY', 'DRIVE', 'LANE', 'STREET']",0,1,1,0,Semantic Knowledge
281,PAPER IN A BOOK,"['FOLIO', 'LEAF', 'PAGE', 'SHEET']",0,1,0,0,Associative Knowledge
282,RESTRAIN,"['CHECK', 'CURB', 'LIMIT', 'STEM']",0,0,0,0,Semantic Knowledge
283,THINGS YOU CAN DO TO YOUR NOSE,"['BLOW', 'HOLD', 'PICK', 'THUMB']",0,0,0,1,Associative Knowledge
284,DARLING,"['BABY', 'BOO', 'DEAR', 'LOVE']",1,1,0,0,Semantic Knowledge
285,BASIC GEOMETRIC OBJECTS,"['LINE', 'POINT', 'RAY', 'SEGMENT']",0,1,0,1,Semantic Knowledge
286,OOMPH,"['ENERGY', 'FIRE', 'JUICE', 'ZIP']",0,1,0,0,Semantic Knowledge
287,SECRET ___,"['AGENT', 'CODE', 'SANTA', 'SAUCE']",0,0,0,0,Multiword Expressions
288,GENTLE,"['LIGHT', 'MELLOW', 'MILD', 'SOFT']",0,1,1,1,Semantic Knowledge
289,CUTS OF PORK,"['BELLY', 'CHOP', 'HOCK', 'SHOULDER']",0,0,0,0,Semantic Knowledge
290,STATUE OF LIBERTY FEATURES,"['CROWN', 'ROBE', 'TABLET', 'TORCH']",0,0,0,0,Encyclopedic Knowledge
291,THINGS TO BLOW ON FOR WISHES/LUCK,"['CANDLE', 'DANDELION', 'DICE', 'EYELASH']",0,0,0,0,Associative Knowledge
292,MEANS OF TRANSPORTATION,"['BOAT', 'CAR', 'PLANE', 'TRAIN']",1,1,1,1,Semantic Knowledge
293,WILLING TO PARTICIPATE,"['DOWN', 'GAME', 'IN', 'ON BOARD']",0,0,0,0,Semantic Knowledge
294,"LITTLE BIT, IN A RECIPE","['DASH', 'DROP', 'PINCH', 'SPLASH']",0,0,0,0,Semantic Knowledge
295,___BERRY,"['BLUE', 'GOOSE', 'RASP', 'STRAW']",0,1,0,0,Multiword Expressions
296,CLASSIC HALLOWEEN COSTUMES,"['ANGEL', 'CLOWN', 'PIRATE', 'WITCH']",0,0,0,0,Encyclopedic Knowledge
297,BEE CREATIONS,"['COMB', 'HIVE', 'HONEY', 'WAX']",0,1,1,1,Semantic Knowledge
298,INTERVAL OF TIME,"['PERIOD', 'SPELL', 'STRETCH', 'WHILE']",0,0,1,0,Semantic Knowledge
299,ANIMAL HOMOPHONES,"['DEAR', 'HAIR', 'HOARSE', 'WAIL']",0,0,0,0,Linguistic Knowledge
300,SEEN IN A LAUNDRY ROOM,"['DRYER', 'HAMPER', 'IRON', 'WASHER']",1,0,0,1,"Associative Knowledge "
301,SHEPHERD,"['DIRECT', 'GUIDE', 'LEAD', 'STEER']",0,0,0,1,Semantic Knowledge
302,WHAT “I” MIGHT MEAN,"['IODINE', 'IOTA', 'MYSELF', 'ONE']",0,0,0,0,Associative Knowledge
303,___ VALLEY,"['DEATH', 'HIDDEN', 'SILICON', 'UNCANNY']",0,0,0,0,Multiword Expressions
304,CONTACT VIA PHONE,"['BUZZ', 'CALL', 'DIAL', 'RING']",1,1,0,1,Semantic Knowledge
305,BOOK SECTIONS,"['APPENDIX', 'CHAPTER', 'INDEX', 'PREFACE']",1,1,1,0,Semantic Knowledge
306,WEE,"['DINKY', 'LITTLE', 'MINUTE', 'SLIGHT']",1,0,1,0,Semantic Knowledge
307,CARTOON MICE,"['ITCHY', 'JERRY', 'PINKY', 'SPEEDY']",0,1,0,0,Encyclopedic Knowledge
308,ACCESSORIES,"['BELT', 'BRACELET', 'TIE', 'WATCH']",1,0,0,1,Semantic Knowledge
309,COMEDIAN’S OUTPUT,"['BIT', 'JOKE', 'ROUTINE', 'SKETCH']",0,0,0,0,Associative Knowledge
310,ATTRACTION,"['APPEAL', 'CHARM', 'DRAW', 'PULL']",0,0,0,1,Semantic Knowledge
311,TWO LETTERS + NUMBER,"['CANINE', 'FREIGHT', 'OFTEN', 'STONE']",0,0,0,0,Linguistic Knowledge
312,BRIEF MOMENT,"['FLASH', 'JIFFY', 'SECOND', 'WINK']",0,0,0,0,Semantic Knowledge
313,PRIMARY,"['CHIEF', 'FIRST', 'MAIN', 'PRINCIPAL']",0,1,0,0,Semantic Knowledge
314,AVENUES IN N.Y.C.,"['BROADWAY', 'FIFTH', 'MADISON', 'PARK']",0,0,0,1,Encyclopedic Knowledge
315,___ HOUR,"['AMATEUR', 'ELEVENTH', 'HAPPY', 'RUSH']",0,0,0,0,Multiword Expressions
316,RESERVE FOR LATER,"['BANK', 'SAVE', 'STASH', 'STORE']",0,1,1,0,Semantic Knowledge
317,"BOLDNESS, FIGURATIVELY","['GALL', 'GUTS', 'NERVE', 'STONES']",0,1,0,0,Semantic Knowledge
318,USED TO BUILD A SNOWMAN,"['CARROT', 'COAL', 'SNOW', 'STICKS']",0,0,0,0,Associative Knowledge
319,FUNNY ___,"['BONE', 'BUSINESS', 'GIRL', 'PAGES']",0,0,0,0,Multiword Expressions
320,FARM TOOLS,"['HOE', 'PLOW', 'RAKE', 'SICKLE']",1,1,1,1,Semantic Knowledge
321,SCHEME,"['PLOT', 'PLOY', 'RUSE', 'TRICK']",0,0,1,0,Semantic Knowledge
322,MAKE HAPPY,"['AMUSE', 'DELIGHT', 'PLEASE', 'TICKLE']",0,0,1,1,Semantic Knowledge
323,ONOMATOPOEIA,"['BANG', 'PLOP', 'SPLASH', 'THUD']",1,1,1,1,Linguistic Knowledge
324,CURMUDGEON,"['CRAB', 'CRANK', 'GROUCH', 'GRUMP']",0,0,0,0,Semantic Knowledge
325,GET LOW,"['CROUCH', 'DUCK', 'SQUAT', 'STOOP']",0,0,0,0,Semantic Knowledge
326,NATIONAL SYMBOLS,"['ANTHEM', 'FLAG', 'MOTTO', 'SEAL']",0,1,1,1,Semantic Knowledge
327,SWINDLER,"['CHEAT', 'CROOK', 'QUACK', 'SHARK']",0,0,0,0,Semantic Knowledge
328,PESTER,"['BADGER', 'BUG', 'HOUND', 'NAG']",0,0,0,0,Semantic Knowledge
329,SPORTS VENUES,"['ARENA', 'BOWL', 'DOME', 'FIELD']",0,0,0,0,Associative Knowledge
330,SEPARATE,"['DIVIDE', 'FORK', 'PART', 'SPLIT']",0,0,1,0,Semantic Knowledge
331,SILVER ___,"['FOX', 'LINING', 'SCREEN', 'SPOON']",0,0,0,0,Multiword Expressions
332,GOLF COURSE PARTS,"['BUNKER', 'FAIRWAY', 'GREEN', 'ROUGH']",0,0,1,1,Semantic Knowledge
333,“I GIVE!”,"['ENOUGH', 'MERCY', 'STOP', 'UNCLE']",0,0,0,0,Associative Knowledge
334,INDECENT,"['BAWDY', 'BLUE', 'COARSE', 'RISQUE']",0,0,0,0,Semantic Knowledge
335,”-OUGH” WORDS THAT DON’T RHYME,"['BOUGH', 'COUGH', 'DOUGH', 'TOUGH']",0,0,0,0,Linguistic Knowledge
336,MURKY CONDITION,"['CLOUD', 'FOG', 'HAZE', 'MIST']",1,0,1,1,Semantic Knowledge
337,FOLLOW,"['SHADOW', 'TAIL', 'TRACK', 'TRAIL']",0,1,0,0,Semantic Knowledge
338,PINBALL MACHINE COMPONENTS,"['BALL', 'BUMPER', 'FLIPPER', 'PLUNGER']",0,1,0,0,Semantic Knowledge
339,___LAND COUNTRIES,"['ICE', 'IRE', 'FIN', 'NETHER']",0,0,0,0,Multiword Expressions
340,LUXURIOUS FABRICS,"['CHIFFON', 'SATIN', 'SILK', 'VELVET']",0,0,1,1,Semantic Knowledge
341,COME DOWN TO REST,"['PERCH', 'ROOST', 'SETTLE', 'LAND']",1,0,0,0,Semantic Knowledge
342,SHOE PARTS,"['EYELET', 'LACE', 'SOLE', 'TONGUE']",0,0,0,0,Semantic Knowledge
343,THINGS THAT ARE DELIVERED,"['BABY', 'BLOW', 'PACKAGE', 'SPEECH']",0,0,0,0,Associative Knowledge
344,PARTS OF A RIVER,"['BANK', 'BED', 'DELTA', 'MOUTH']",1,1,0,0,Semantic Knowledge
345,SOMETHING EASY TO DO,"['BREEZE', 'CINCH', 'PICNIC', 'SNAP']",0,0,0,0,Linguistic Knowledge
346,WRAP AROUND IN A CIRCLE,"['COIL', 'SPIRAL', 'TWIST', 'WIND']",0,0,1,0,Semantic Knowledge
347,JUMP INTO THE AIR,"['BOUND', 'LEAP', 'SPRING', 'VAULT']",1,0,0,1,Semantic Knowledge
348,ICE CREAM TREATS,"['FLOAT', 'SHAKE', 'SPLIT', 'SUNDAE']",0,0,1,0,Associative Knowledge
349,HARDWARE FASTENERS,"['BOLT', 'NAIL', 'RIVET', 'SCREW']",1,1,0,1,Semantic Knowledge
350,KINDS OF COOKING OIL,"['CORN', 'OLIVE', 'PALM', 'PEANUT']",0,0,1,0,Semantic Knowledge
351,STICKY ___,"['FINGERS', 'NOTE', 'RICE', 'WICKET']",0,0,0,0,Multiword Expressions
352,DECLINE,"['EBB', 'FADE', 'FLAG', 'WANE']",0,0,0,0,Semantic Knowledge
353,ABSOLUTE,"['PURE', 'SHEER', 'TOTAL', 'UTTER']",0,0,0,1,Semantic Knowledge
354,EXPRESS,"['AIR', 'SPEAK', 'STATE', 'VOICE']",0,0,0,0,Semantic Knowledge
355,SUPERHERO LAST NAMES,"['BANNER', 'PRINCE', 'STARK', 'WAYNE']",0,0,0,0,Encyclopedic Knowledge
356,STATE ABBREVIATIONS,"['HI', 'LA', 'MA', 'OK']",0,0,0,1,Encyclopedic Knowledge
357,CABLE CHANNELS,"['BET', 'E', 'HALLMARK', 'USA']",0,0,0,0,Encyclopedic Knowledge
358,IN THE NATO ALPHABET,"['ALFA', 'BRAVO', 'ROMEO', 'TANGO']",1,1,1,1,Encyclopedic Knowledge
359,___-___,"['BOO', 'POM', 'TOM', 'YO']",0,0,0,0,Linguistic Knowledge
360,FOUND ON SHEET MUSIC,"['CLEF', 'NOTE', 'REST', 'STAFF']",0,0,1,1,Associative Knowledge
361,ZODIAC SYMBOLS,"['BULL', 'CRAB', 'SCALES', 'TWINS']",0,0,0,0,Encyclopedic Knowledge
362,RECORD LABELS,"['CAPITOL', 'COLUMBIA', 'VIRGIN', 'ISLAND']",0,0,0,0,Encyclopedic Knowledge
363,ZODIAC SIGN BEGINNINGS,"['CAN', 'GEM', 'LIB', 'TAU']",0,0,0,0,Combined Category
364,ENORMOUS,"['BIG', 'GIANT', 'GREAT', 'HUGE']",1,1,1,1,Semantic Knowledge
365,BOOKSTORE SECTIONS,"['FICTION', 'HUMOR', 'POETRY', 'TRAVEL']",0,0,0,0,Associative Knowledge
366,TV SHOWS WITH HAPPY-SOUNDING NAMES,"['CHEERS', 'EUPHORIA', 'FELICITY', 'GLEE']",0,0,0,0,Encyclopedic Knowledge
367,___ CRANE,"['CONSTRUCTION', 'FRASIER', 'PAPER', 'WHOOPING']",0,0,0,0,Multiword Expressions
368,UNIT OF BREAD,"['BAGUETTE', 'BUN', 'LOAF', 'ROLL']",1,1,0,0,Semantic Knowledge
369,"ASSURE, AS A WIN","['CLINCH', 'GUARANTEE', 'LOCK', 'SECURE']",0,1,1,0,Semantic Knowledge
370,SMALL IMPERFECTION,"['CHIP', 'MARK', 'NICK', 'SCRATCH']",1,1,0,0,Associative Knowledge
371,HEAD OF ___,"['HAIR', 'LETTUCE', 'STATE', 'STEAM']",0,0,0,0,Multiword Expressions
372,MONTHLY BILLS,"['CABLE', 'ELECTRIC', 'GAS', 'WATER']",0,0,0,0,Associative Knowledge
373,RELATED TO SOUND/HEARING,"['ACOUSTIC', 'AUDITORY', 'HEARD', 'SONIC']",0,0,0,0,Semantic Knowledge
374,CONNECT,"['COUPLE', 'HITCH', 'LINK', 'TIE']",0,1,1,0,Semantic Knowledge
375,"EXCITE, WITH “UP”","['AMP', 'FIRE', 'HYPE', 'PUMP']",0,0,0,0,Linguistic Knowledge
376,CONTAINERS,"['BASKET', 'BIN', 'CHEST', 'HAMPER']",0,1,0,1,Semantic Knowledge
377,CIRCULAR SHAPES,"['BAND', 'CIRCLE', 'HOOP', 'RING']",0,0,0,0,Semantic Knowledge
378,RESTRICT,"['CAP', 'CHECK', 'CURB', 'LIMIT']",0,0,0,0,Semantic Knowledge
379,___ JAM,"['NBA', 'PAPER', 'PEARL', 'TRAFFIC']",0,0,0,0,Multiword Expressions
380,PLACES TO SHOP,"['MALL', 'MARKET', 'OUTLET', 'STORE']",0,1,1,1,Semantic Knowledge
381,WAYS TO REMOVE HAIR,"['SHAVE', 'THREAD', 'TWEEZE', 'WAX']",0,0,0,1,Associative Knowledge
382,PORTION OF PROFIT,"['CUT', 'PIECE', 'SHARE', 'TAKE']",0,0,0,0,Associative Knowledge
383,KINDS OF WRENCHES,"['ALLEN', 'CRESCENT', 'MONKEY', 'SOCKET']",0,1,1,0,Encyclopedic Knowledge
384,AVOID,"['DODGE', 'DUCK', 'ESCAPE', 'SKIRT']",0,0,0,0,Semantic Knowledge
385,HITCHCOCK MOVIES,"['BIRDS', 'NOTORIOUS', 'REBECCA', 'ROPE']",0,0,0,0,Encyclopedic Knowledge
386,SIDEKICKS,"['GOOSE', 'HOBBES', 'ROBIN', 'WATSON']",0,0,0,0,Encyclopedic Knowledge
387,___ CHEESE,"['COTTAGE', 'CREAM', 'SAY', 'STRING']",0,0,0,0,Multiword Expressions
388,FOOT PARTS,"['ARCH', 'BALL', 'SOLE', 'TOE']",0,1,0,0,Semantic Knowledge
389,MUSICAL INSTRUMENTS,"['BASS', 'HARP', 'HORN', 'ORGAN']",0,1,1,1,Semantic Knowledge
390,DOG COMMANDS,"['COME', 'DOWN', 'SIT', 'STAY']",1,0,0,1,Associative Knowledge
391,BADDIE,"['DOG', 'HEEL', 'JERK', 'SNAKE']",0,0,0,0,Associative Knowledge
392,ROOMS IN A HOUSE,"['BEDROOM', 'DEN', 'KITCHEN', 'STUDY']",0,0,1,1,Semantic Knowledge
393,LAND SURROUNDED BY WATER,"['ATOLL', 'BAR', 'ISLAND', 'KEY']",0,0,1,1,Associative Knowledge
394,FILL TO EXCESS,"['CRAM', 'JAM', 'PACK', 'STUFF']",0,0,0,0,Semantic Knowledge
395,BEAN ___,"['BAG', 'COUNTER', 'DIP', 'SPROUT']",0,0,0,0,Multiword Expressions
396,CARRY A TUNE,"['HUM', 'SING', 'SCAT', 'WHISTLE']",0,1,0,0,Semantic Knowledge
397,WHOLE AMOUNT,"['COUNT', 'GROSS', 'SUM', 'TOTAL']",0,0,1,0,Semantic Knowledge
398,MOJITO INGREDIENTS,"['LIME', 'MINT', 'RUM', 'SODA']",0,0,0,0,Associative Knowledge
399,THINGS THAT ARE “STICKY”,"['GLUE', 'GUM', 'TAPE', 'STICK']",1,1,1,0,Semantic Knowledge
400,MUNICIPALITIES,"['CITY', 'COUNTY', 'TOWN', 'VILLAGE']",1,0,1,1,Semantic Knowledge
401,BLENDER BUTTONS,"['CHOP', 'GRIND', 'PULSE', 'PUREE']",1,1,1,0,Associative Knowledge
402,FINANCIAL TERMS,"['CAPITAL', 'EQUITY', 'INTEREST', 'STOCK']",1,1,1,1,Associative Knowledge
403,___ LEAGUE,"['IVY', 'JUSTICE', 'LITTLE', 'PREMIER']",0,1,0,0,Multiword Expressions
404,SECLUDED,"['HIDDEN', 'PRIVATE', 'REMOTE', 'SECRET']",0,1,1,0,Semantic Knowledge
405,AGGREGATE SIZE,"['AMOUNT', 'NUMBER', 'QUANTITY', 'VOLUME']",1,1,1,1,Semantic Knowledge
406,BODIES OF WATER,"['CANAL', 'CHANNEL', 'SOUND', 'STRAIT']",0,1,1,0,Associative Knowledge
407,READS THE SAME ROTATED 180°,"['96', 'MOW', 'NOON', 'SIS']",0,0,0,0,Associative Knowledge
408,CRITICIZE,"['KNOCK', 'PAN', 'ROAST', 'SLAM']",0,0,0,0,Semantic Knowledge
409,REALITY SHOWS,"['ALONE', 'CATFISH', 'CHOPPED', 'SURVIVOR']",0,0,0,1,Encyclopedic Knowledge
410,CAR BRANDS,"['FIAT', 'JAGUAR', 'MINI', 'RAM']",0,1,0,0,Encyclopedic Knowledge
411,___ PAD,"['BACHELOR', 'LILY', 'MAXI', 'MOUSE']",0,0,0,0,Multiword Expressions
412,FOODS WITH CRUSTS,"['PASTY', 'PIE', 'TART', 'TURNOVER']",0,0,0,0,Associative Knowledge
413,ENDING IN A SILENT “T”,"['BOUQUET', 'PARFAIT', 'RAGOUT', 'RAPPORT']",0,0,0,0,Linguistic Knowledge
414,COUNTRIES WITH RED AND WHITE FLAGS,"['JAPAN', 'POLAND', 'TUNISIA', 'TURKEY']",0,0,0,0,Encyclopedic Knowledge
415,N.B.A. GREATS,"['BIRD', 'CURRY', 'JAMES', 'JORDAN']",0,0,0,0,Encyclopedic Knowledge
416,AREAS BETWEEN MOUNTAINS AND HILLS,"['CANYON', 'GULCH', 'PASS', 'RAVINE']",0,0,0,0,Associative Knowledge
417,EAT VORACIOUSLY,"['GORGE', 'GULP', 'SCARF', 'WOLF']",0,0,0,0,Associative Knowledge
418,FEATURED IN “SNOW WHITE”,"['APPLE', 'BASHFUL', 'MIRROR', 'QUEEN']",0,1,1,0,Encyclopedic Knowledge
419,“C” + BIRD,"['CHEN', 'CLARK', 'COWL', 'CRAVEN']",0,0,0,0,Combined Category
420,TYPES OF TEETH,"['CANINE', 'FANG', 'MOLAR', 'TUSK']",0,1,0,1,Semantic Knowledge
421,FASHIONABLE,"['CHIC', 'HIP', 'HOT', 'IN']",0,1,0,0,Semantic Knowledge
,DANCE MOVES,"['FLOSS', 'ROBOT', 'VOGUE', 'WORM']",0,0,0,0,Encyclopedic Knowledge
423,THINGS THAT SUCK,"['LEECH', 'STRAW', 'VACUUM', 'VAMPIRE']",0,0,0,0,Associative Knowledge
424,RELIGIOUS FIGURES,"['CARDINAL', 'LAMA', 'MONK', 'PASTOR']",0,0,1,0,Encyclopedic Knowledge
425,PRIMATES,"['BABOON', 'BONOBO', 'GIBBON', 'GORILLA']",1,0,1,1,Semantic Knowledge
426,CHUTNEY VARIETIES,"['MANGO', 'MINT', 'TAMARIND', 'TOMATO']",0,0,0,0,Associative Knowledge
427,IMITATE,"['APE', 'MIME', 'MIRROR', 'PARROT']",0,0,0,0,Semantic Knowledge
428,ONSET,"['BIRTH', 'CREATION', 'DAWN', 'START']",1,1,1,0,Semantic Knowledge
429,VENERABLE,"['AUGUST', 'GRAND', 'NOBLE', 'REGAL']",0,1,0,0,Semantic Knowledge
430,WALK,"['MARCH', 'STEP', 'STRIDE', 'TREAD']",1,1,0,0,Semantic Knowledge
431,___ DAY HOLIDAYS,"['EARTH', 'GROUNDHOG', 'LABOR', 'MAY']",0,1,0,0,Encyclopedic Knowledge
432,QUICK PEEK,"['GANDER', 'GLANCE', 'GLIMPSE', 'LOOK']",0,1,1,0,Semantic Knowledge
433,DECEIT,"['ACT', 'BLUFF', 'CHARADE', 'FRONT']",1,1,0,0,Semantic Knowledge
434,PARTS OF A MOUNTAIN,"['CLIFF', 'CRAG', 'LEDGE', 'RIDGE']",0,0,0,0,Semantic Knowledge
435,HOMOPHONES,"['PEAK', 'PEEK', 'PEKE', 'PIQUE']",0,0,0,0,Linguistic Knowledge
436,BODYWEIGHT EXERCISES,"['DIPS', 'LUNGES', 'PLANKS', 'SQUATS']",1,1,1,1,Semantic Knowledge
437,EMAIL SIGN-OFFS,"['BEST', 'CHEERS', 'REGARDS', 'THANKS']",1,0,1,0,Associative Knowledge
438,"M.L.B. TEAMS, FOR SHORT","['CARDS', 'JAYS', 'NATS', 'YANKS']",1,0,1,1,Encyclopedic Knowledge
439,ELIZABETHS (AND ONE ELISABETH),"['BANKS', 'MOSS', 'TAYLOR', 'WARREN']",0,1,0,0,Encyclopedic Knowledge
440,BALDERDASH,"['BULL', 'HOGWASH', 'NONSENSE', 'ROT']",0,0,0,0,Semantic Knowledge
441,HELM,"['DIRECT', 'GUIDE', 'LEAD', 'STEER']",0,1,1,0,Semantic Knowledge
442,SINGLE/PLURAL ANIMALS,"['BUFFALO', 'DEER', 'FISH', 'MOOSE']",0,0,0,0,Combined Category
